province,city,county,honey_plant,plant_type,source_category,distribution_scale,start_month,end_month,notes,terrain
甘肃,庆阳,环县,荞麦,草本,主要蜜源,中等规模,8,9,统计验证：环县荞麦常年种植面积27万亩左右(县政府数据),
甘肃,白银,会宁县,荞麦,草本,主要蜜源,中等规模,8,9,统计验证：会宁小杂粮面积30.3万亩(2022)，中国小杂粮之乡，荞麦为主要品种,
内蒙古,巴彦淖尔,五原县,向日葵,草本,主要蜜源,大规模,8,8,统计验证：巴彦淖尔全市向日葵420万亩占全国43.5%，五原为葵花之乡；统计验证：五原县向日葵面积116万亩(2023)，占全国1/7；巴彦淖尔全市420万亩,
内蒙古,巴彦淖尔,临河区,向日葵,草本,主要蜜源,大规模,8,8,河套平原向日葵核心产区，巴彦淖尔全市种植420万亩；统计验证：临河区向日葵面积60万亩+(2023)，河套平原向日葵核心产区,
新疆,阿克苏,阿克苏市,棉花,草本,主要蜜源,大规模,8,9,新疆棉花核心产区；统计验证：阿克苏市棉花面积102万亩(2022)，新疆棉花核心产区,
新疆,阿克苏,库车市,棉花,草本,主要蜜源,大规模,8,9,统计验证：库车市棉花面积180万亩(2022),
新疆,阿克苏,沙雅县,棉花,草本,主要蜜源,大规模,8,9,统计验证：沙雅县棉花面积190万亩(2022)，中国塔里木棉花之乡,
新疆,喀什,莎车县,棉花,草本,主要蜜源,大规模,8,9,统计验证：莎车县棉花面积85万亩(2022),
新疆,喀什,麦盖提县,棉花,草本,主要蜜源,中等规模,8,9,统计验证：麦盖提县棉花面积62万亩(2022)；机采棉40万亩,
新疆,巴州,轮台县,棉花,草本,主要蜜源,大规模,8,9,统计验证：棉花面积112万亩(2022),
新疆,阿勒泰,布尔津县,向日葵,草本,主要蜜源,大规模,7,8,新疆向日葵主产区；全疆向日葵面积193万亩,
新疆,阿勒泰,福海县,向日葵,草本,主要蜜源,大规模,7,8,新疆向日葵主产区；全疆向日葵面积193万亩,
辽宁,阜新,阜新蒙古族自治县,荆条,灌木,主要蜜源,大规模,6,7,兴城试验站验证：全县荆条存有面积6.67万公顷；分布区域：全县（荆条带纬度范围内）,低山丘陵
辽宁,葫芦岛,建昌县,荆条,灌木,主要蜜源,中等规模,6,7,分布区域：和尚房子乡-养马甸子乡,低山丘陵
黑龙江,牡丹江,海林市,椴树,乔木,主要蜜源,大规模,6,7,张广才岭椴树核心产区,
黑龙江,牡丹江,宁安市,椴树,乔木,主要蜜源,大规模,6,7,,
黑龙江,牡丹江,东宁市,椴树,乔木,主要蜜源,中等规模,6,7,,
黑龙江,牡丹江,穆棱市,椴树,乔木,主要蜜源,大规模,6,7,,
黑龙江,鸡西,虎林市,椴树,乔木,主要蜜源,大规模,6,7,完达山区,
辽宁,阜新,阜新蒙古族自治县,丁香,灌木,辅助蜜源,中等规模,6,7,兴城试验站验证,低山丘陵
辽宁,阜新,阜新蒙古族自治县,荞麦,草本,主要蜜源,中等规模,8,9,兴城试验站验证,低山丘陵
辽宁,阜新,阜新蒙古族自治县,刺槐,乔木,主要蜜源,中等规模,4,5,兴城试验站验证；槐树花蜜源,低山丘陵
陕西,安康,紫阳县,油菜,草本,主要蜜源,大规模,2,4,延安试验站调查：高桥镇蜂群饲养量1500群以上；全县17乡镇137村全面调查蜜源50余种；分布区域：双桥镇,山地
陕西,安康,紫阳县,玉米,草本,辅助蜜源,中等规模,5,7,延安试验站验证；主要蜜源之一,山地
陕西,安康,紫阳县,板栗,乔木,主要蜜源,中等规模,5,6,延安试验站验证；主要蜜源之一,山地
陕西,安康,紫阳县,漆树,乔木,主要蜜源,中等规模,5,6,延安试验站验证；主要蜜源之一,山地
陕西,安康,紫阳县,荆条,灌木,主要蜜源,中等规模,6,7,延安试验站验证；主要蜜源之一,山地
陕西,安康,紫阳县,盐肤木(五倍子),灌木,主要蜜源,中等规模,7,8,延安试验站验证；主要蜜源之一,
陕西,安康,紫阳县,柑橘,乔木,主要蜜源,中等规模,4,5,延安试验站验证；主要蜜源之一,山地
陕西,安康,紫阳县,向日葵,草本,辅助蜜源,零星分布,7,8,延安试验站验证；辅助蜜源,山地
陕西,安康,紫阳县,芝麻,草本,辅助蜜源,零星分布,7,8,延安试验站验证；辅助蜜源,山地
陕西,安康,紫阳县,山桃,乔木,辅助蜜源,零星分布,3,4,延安试验站验证；辅助蜜源,山地
陕西,安康,紫阳县,山杏,乔木,辅助蜜源,零星分布,3,4,延安试验站验证；辅助蜜源,山地
陕西,安康,紫阳县,野山茶花,灌木,辅助蜜源,中等规模,10,12,延安试验站验证；辅助蜜源,山地
陕西,安康,紫阳县,党参,草本,辅助蜜源,零星分布,8,9,延安试验站验证；药用辅助蜜源,山地
陕西,安康,紫阳县,野菊花,草本,辅助蜜源,零星分布,9,10,延安试验站验证；辅助蜜源,山地
江西,九江,永修县,山乌桕,乔木,主要蜜源,大规模,6,7,南昌试验站验证：多箱体生产山乌桕成熟蜜示范,丘陵
江西,上饶,婺源县,盐肤木(五倍子),灌木,主要蜜源,中等规模,7,8,南昌试验站验证,丘陵
江西,上饶,婺源县,覆盆子,灌木,辅助蜜源,中等规模,4,5,南昌试验站/中国农科院帮扶,丘陵
江西,上饶,婺源县,板栗,乔木,辅助蜜源,中等规模,5,6,南昌试验站验证,丘陵
江西,上饶,婺源县,柃木(春桂),灌木,主要蜜源,中等规模,1,3,野桂花早春品种；南昌试验站验证,丘陵
江西,上饶,婺源县,柃木(冬桂),灌木,主要蜜源,中等规模,10,12,野桂花冬季品种；南昌试验站验证,丘陵
江西,宜春,宜丰县,野乌桕,乔木,主要蜜源,大规模,6,7,南昌试验站+县政府验证：中华蜜蜂之乡；森林覆盖率71.9%；蜂群57816箱；分布区域：全县（含官山自然保护区）,山地（九岭山脉南麓）
江西,宜春,宜丰县,水荷树,灌木,主要蜜源,中等规模,5,6,南昌试验站验证,山地
江西,宜春,宜丰县,青果树,灌木,主要蜜源,中等规模,6,7,南昌试验站验证,山地
江西,宜春,宜丰县,树参(边荷枫),乔木,主要蜜源,中等规模,7,8,南昌试验站验证,山地
江西,宜春,宜丰县,野桂花,灌木,主要蜜源,中等规模,10,12,南昌试验站验证,
江西,吉安,井冈山市,乌桕,乔木,主要蜜源,大规模,6,7,南昌试验站/省养蜂所验证：700余种蜜源植物；东上乡蒲陇村中蜂成熟蜜示范基地；分布区域：东上乡蒲陇村,山地（罗霄山脉）
江西,吉安,井冈山市,山杜英,乔木,辅助蜜源,中等规模,5,6,东上乡核心区；分布区域：东上乡,山地
江西,吉安,井冈山市,野板栗,乔木,辅助蜜源,中等规模,5,6,东上乡；分布区域：东上乡,山地
江西,吉安,井冈山市,野樱,乔木,辅助蜜源,中等规模,3,4,春季蜜源；分布区域：全山,山地
江西,吉安,井冈山市,椴树,乔木,主要蜜源,中等规模,6,7,夏日蜜源；分布区域：全山,山地
江西,吉安,井冈山市,盐肤木(五倍子),灌木,主要蜜源,中等规模,7,8,深秋蜜源；分布区域：全山,山地
江西,吉安,井冈山市,柃木(野桂花),灌木,主要蜜源,中等规模,11,1,寒冬蜜源；森林覆盖率87.1%；分布区域：全山,山地
江西,南昌,安义县,油菜,草本,主要蜜源,大规模,2,4,南昌试验站验证：油菜种植面积大；丘陵山地中蜂养殖,丘陵平原
云南,楚雄,武定县,板栗,乔木,主要蜜源,中等规模,5,6,红河试验站2023年实地调研：猫街镇-狮山镇板栗面积和流蜜特点；分布区域：猫街镇-狮山镇,山地
云南,大理,祥云县,水红花,草本,主要蜜源,中等规模,8,10,红河试验站验证：中蜂活框多箱体冬蜂蜜,山地
云南,大理,祥云县,野坝子,灌木,主要蜜源,中等规模,9,11,红河试验站验证,山地
云南,临沧,沧源县,米团花,灌木,主要蜜源,大规模,11,1,蜜蜂所沧源试验站验证：面积17.3万亩；产黑蜜（水苏碱含量为普通蜂蜜50倍）；蜂群3万余群；综合产值5093万元,山地
贵州,黔南,独山县,油菜,草本,主要蜜源,中等规模,2,3,遵义试验站验证：贵州省第5个蜂产业示范县；蜜源丰富工业污染少,喀斯特山地
贵州,黔南,独山县,盐肤木(五倍子),灌木,主要蜜源,中等规模,7,8,遵义试验站验证,喀斯特山地
贵州,黔南,独山县,野桂花,灌木,主要蜜源,中等规模,10,11,遵义试验站验证,喀斯特山地
湖北,恩施,鹤峰县,盐肤木(五倍子),灌木,主要蜜源,中等规模,7,8,恩施试验站验证：武陵山区山花蜜,武陵山区
湖北,恩施,鹤峰县,乌桕,乔木,主要蜜源,中等规模,6,7,恩施试验站验证,武陵山区
湖北,恩施,鹤峰县,漆树,乔木,主要蜜源,中等规模,5,6,恩施试验站验证,武陵山区
湖北,恩施,鹤峰县,荆条,灌木,主要蜜源,中等规模,6,7,恩施试验站验证,武陵山区
湖北,恩施,咸丰县,盐肤木(五倍子),灌木,主要蜜源,中等规模,7,8,恩施试验站验证：武陵山区山花蜜,武陵山区
湖北,恩施,咸丰县,乌桕,乔木,主要蜜源,中等规模,6,7,恩施试验站验证,武陵山区
湖北,恩施,咸丰县,漆树,乔木,主要蜜源,中等规模,5,6,恩施试验站验证,武陵山区
湖北,恩施,咸丰县,荆条,灌木,主要蜜源,中等规模,6,7,恩施试验站验证,
湖北,恩施,宣恩县,盐肤木(五倍子),灌木,主要蜜源,中等规模,7,8,恩施试验站验证：武陵山区山花蜜,武陵山区
湖北,恩施,宣恩县,乌桕,乔木,主要蜜源,中等规模,6,7,恩施试验站验证,武陵山区
湖北,恩施,宣恩县,漆树,乔木,主要蜜源,中等规模,5,6,恩施试验站验证,
湖北,恩施,宣恩县,荆条,灌木,主要蜜源,中等规模,6,7,恩施试验站验证,
湖北,恩施,来凤县,盐肤木(五倍子),灌木,主要蜜源,中等规模,7,8,恩施试验站验证：武陵山区山花蜜,武陵山区
湖北,恩施,来凤县,乌桕,乔木,主要蜜源,中等规模,6,7,恩施试验站验证,
湖北,恩施,来凤县,漆树,乔木,主要蜜源,中等规模,5,6,恩施试验站验证,
湖北,恩施,来凤县,荆条,灌木,主要蜜源,中等规模,6,7,恩施试验站验证,
湖北,宜昌,五峰县,盐肤木(五倍子),灌木,主要蜜源,中等规模,7,8,恩施试验站验证：武陵山区山花蜜,
湖北,宜昌,五峰县,乌桕,乔木,主要蜜源,中等规模,6,7,恩施试验站验证,
湖北,宜昌,五峰县,漆树,乔木,主要蜜源,中等规模,5,6,恩施试验站验证,
湖北,宜昌,五峰县,荆条,灌木,主要蜜源,中等规模,6,7,恩施试验站验证,
湖北,宜昌,长阳县,盐肤木(五倍子),灌木,主要蜜源,中等规模,7,8,恩施试验站验证：武陵山区山花蜜,武陵山区
湖北,宜昌,长阳县,乌桕,乔木,主要蜜源,中等规模,6,7,恩施试验站验证,
湖北,宜昌,长阳县,漆树,乔木,主要蜜源,中等规模,5,6,恩施试验站验证,
湖北,宜昌,长阳县,荆条,灌木,主要蜜源,中等规模,6,7,恩施试验站验证,武陵山区
四川,德阳,中江县,油菜,草本,主要蜜源,大规模,2,3,统计年鉴验证：油菜面积36.3千公顷(2022年),
江西,九江,彭泽县,油菜,草本,主要蜜源,中等规模,3,3,统计年鉴验证：油菜面积17.3千公顷(2023年),
湖北,荆州,荆州区,油菜,草本,主要蜜源,中等规模,3,3,统计年鉴验证：油菜面积12.5千公顷(2023年),
湖南,湘西,永顺县,油菜,草本,主要蜜源,中等规模,2,3,统计年鉴验证：油菜面积11.9千公顷(2022年),
陕西,咸阳,永寿县,刺槐,乔木,主要蜜源,大规模,4,5,统计验证：全国集中连片面积最大刺槐林40万亩(中国蜂产品协会),
陕西,延安,志丹县,刺槐,乔木,主要蜜源,中等规模,4,5,延安刺槐分布区；主要分布乡镇：杏河、顺宁、周河、双河等乡镇,
陕西,延安,安塞区,刺槐,乔木,主要蜜源,中等规模,4,5,延安刺槐分布区；主要分布乡镇：砖窑湾、西河口等乡镇,
陕西,延安,延长县,刺槐,乔木,主要蜜源,中等规模,4,5,延安刺槐分布区；主要分布乡镇：黄河沿岸乡镇为主要分布区,
陕西,延安,子长市,刺槐,乔木,主要蜜源,中等规模,4,5,延安刺槐分布区；主要分布乡镇：中山林场、南沟岔、冯家屯等区域,
陕西,延安,富县,刺槐,乔木,主要蜜源,中等规模,4,5,延安刺槐分布区；主要分布乡镇：牛武、张家湾、张村驿等乡镇,
陕西,延安,甘泉县,刺槐,乔木,主要蜜源,中等规模,4,5,延安刺槐分布区；主要分布乡镇：道镇、东沟等乡镇,
广东,茂名,化州市,荔枝,乔木,主要蜜源,大规模,2,4,茂名荔枝产区，面积24.94万亩(2022),
新疆,阿勒泰,阿勒泰市,向日葵,草本,主要蜜源,大规模,7,8,新疆向日葵主产区；全疆向日葵面积193万亩,
新疆,塔城,塔城市,向日葵,草本,主要蜜源,大规模,7,8,新疆向日葵主产区；全疆向日葵面积193万亩,
福建,南平,顺昌县,紫云英,草本,主要蜜源,中等规模,3,4,绿肥项目县；南平全市紫云英57.3万亩(2024),
湖南,益阳,南县,紫云英,草本,主要蜜源,中等规模,3,4,统计验证：紫云英面积4.16万亩(2024),
湖南,张家界,慈利县,紫云英,草本,主要蜜源,中等规模,3,4,绿肥面积7.5万亩(2024),
广东,云浮,罗定市,紫云英,草本,主要蜜源,中等规模,1,3,统计验证：紫云英超4万亩(2024-2025)；广东全省紫云英95万亩,
广东,河源,东源县,紫云英,草本,主要蜜源,中等规模,1,3,统计验证：紫云英3.7万亩(2024),
广西,南宁,武鸣区,柑橘,乔木,主要蜜源,大规模,3,4,统计验证：武鸣沃柑面积46万亩(2024)，全国最大沃柑种植县(区)；全产业链产值超100亿元,
广西,桂林,荔浦市,柑橘,乔木,主要蜜源,大规模,3,4,统计验证：荔浦砂糖橘面积20万亩(2023)，中国砂糖桔第一县；农民人均有果超2.5吨,
广西,桂林,永福县,柑橘,乔木,主要蜜源,大规模,3,4,统计验证：永福砂糖橘面积32.5万亩(2023)，全国最大富硒砂糖橘生产基地,
广西,桂林,阳朔县,柑橘,乔木,主要蜜源,大规模,3,4,统计验证：阳朔金桔面积23万亩(2023)，中国金桔第一县；金桔面积和产量占全国55%以上,
福建,漳州,平和县,柑橘,乔木,主要蜜源,大规模,3,4,统计验证：平和琯溪蜜柚面积72.5万亩(2023)；柚花为春季重要蜜源；涉柚产值200亿元,
福建,泉州,永春县,柑橘,乔木,主要蜜源,中等规模,3,4,统计验证：永春芦柑面积11.72万亩(2023)，占全省芦柑产量60%以上,
陕西,渭南,大荔县,枣树,乔木,主要蜜源,大规模,5,6,统计验证：大荔冬枣面积42万亩(2023)，全国设施冬枣第一县；年产量50万吨，产值71亿元,
新疆,巴州,若羌县,枣树,乔木,主要蜜源,中等规模,5,6,统计验证：若羌红枣面积23.38万亩(2023)；若羌灰枣为优质红枣品种,
内蒙古,通辽,库伦旗,荞麦,草本,主要蜜源,中等规模,8,9,统计验证：库伦旗荞麦面积10万亩以上(2023)；中国荞麦之乡；库伦荞麦获国家地理标志,
安徽,芜湖,南陵县,紫云英,草本,主要蜜源,大规模,3,4,统计验证：南陵县紫云英面积23万亩(2024)，全省最大紫云英种植县；全国紫云英种子市场份额30%以上,
陕西,延安,宝塔区,刺槐,乔木,主要蜜源,中等规模,4,5,主要分布乡镇：李渠镇为核心分布区；全区各乡镇均有分布,
河北,石家庄,行唐县,荆条,灌木,主要蜜源,中等规模,6,7,主要分布乡镇：太行山沿线8个乡镇,
辽宁,葫芦岛,建昌县,梨树花,乔木,辅助蜜源,中等规模,4,5,国家蜂产业技术体系兴城综合试验站(2025)验证；分布区域：和尚房子乡-养马甸子乡,低山丘陵
陕西,安康,紫阳县,油菜,草本,主要蜜源,大规模,2,4,国家蜂产业技术体系延安综合试验站(2022)验证；分布区域：界岭镇,山地
陕西,安康,紫阳县,油菜,草本,主要蜜源,大规模,2,4,国家蜂产业技术体系延安综合试验站(2022)验证；分布区域：东木镇,山地
陕西,安康,紫阳县,油菜,草本,主要蜜源,大规模,2,4,国家蜂产业技术体系延安综合试验站(2022)验证；分布区域：汉王镇,山地
陕西,安康,紫阳县,油菜,草本,主要蜜源,大规模,2,4,国家蜂产业技术体系延安综合试验站(2022)验证；分布区域：双桥镇,山地
陕西,安康,紫阳县,盐肤木,灌木,主要蜜源,中等规模,7,8,国家蜂产业技术体系延安综合试验站(2022)验证；分布区域：全县,山地
江西,吉安,井冈山市,春桂（柃木属）,灌木,主要蜜源,大规模,1,4,江西省养蜂研究所(2023)验证；分布区域：全山,山地（罗霄山脉）
湖北,恩施,五峰县,五倍子（盐肤木）,灌木,主要蜜源,中等规模,7,8,国家蜂产业技术体系恩施综合试验站(2022)验证；分布区域：全县,武陵山区
重庆,綦江,綦江区,油菜,草本,主要蜜源,中等规模,2,4,国家蜂产业技术体系重庆综合试验站(2024)验证；分布区域：全区,丘陵
重庆,南川,南川区,野黄柏,乔木,主要蜜源,大规模,7,8,国家蜂产业技术体系重庆综合试验站(2024)验证；分布区域：金佛山区域,山地（金佛山）
重庆,南川,南川区,南川柯,乔木,主要蜜源,中等规模,8,9,国家蜂产业技术体系重庆综合试验站(2024)验证；分布区域：金佛山区域,山地（金佛山）
重庆,南川,南川区,玄参,草本,辅助蜜源,大规模,7,8,国家蜂产业技术体系重庆综合试验站(2024)验证；分布区域：金佛山区域,山地
重庆,南川,南川区,玉簪花,草本,辅助蜜源,大规模,7,8,国家蜂产业技术体系重庆综合试验站(2024)验证；分布区域：金佛山区域,山地
重庆,武隆,武隆区,油菜,草本,主要蜜源,中等规模,2,4,国家蜂产业技术体系重庆综合试验站(2024)验证；分布区域：全区,山地
重庆,武隆,武隆区,五倍子（盐肤木）,灌木,主要蜜源,中等规模,7,8,国家蜂产业技术体系重庆综合试验站(2024)验证；分布区域：全区,山地
重庆,南川,南川区,蓝莓,灌木,辅助蜜源,中等规模,3,4,国家蜂产业技术体系重庆综合试验站(2024)验证；分布区域：全区,山地
黑龙江,牡丹江,林口县,紫椴,乔木,主要蜜源,大规模,6,7,黑龙江省农科院牡丹江分院蜜蜂研究所(1980年代)验证；分布区域：全县,山地
黑龙江,鸡西,密山市,紫椴,乔木,主要蜜源,大规模,6,7,黑龙江省农科院牡丹江分院蜜蜂研究所(1980年代)验证；分布区域：全市,山地
黑龙江,牡丹江,海林市,槭椴（糠椴）,乔木,主要蜜源,大规模,7,7,黑龙江省农科院牡丹江分院蜜蜂研究所(1980年代)验证；分布区域：全市,山地（张广才岭）
黑龙江,牡丹江,宁安市,槭椴（糠椴）,乔木,主要蜜源,大规模,7,7,黑龙江省农科院牡丹江分院蜜蜂研究所(1980年代)验证；分布区域：全市,山地
黑龙江,牡丹江,东宁市,槭椴（糠椴）,乔木,主要蜜源,大规模,7,7,黑龙江省农科院牡丹江分院蜜蜂研究所(1980年代)验证；分布区域：全市,山地
浙江,衢州,衢州市,油菜,草本,主要蜜源,大规模,3,4,统计验证：衢州油菜面积45.21万亩(2022)，浙江油菜主产区,丘陵
浙江,杭州,杭州市,油菜,草本,主要蜜源,大规模,3,4,统计验证：杭州油菜面积38.27万亩(2022),丘陵
浙江,台州,台州市,柑橘,乔木,主要蜜源,大规模,4,5,统计验证：台州柑橘面积43.5万亩(2022)，其中黄岩蜜橘5.4万亩,丘陵
浙江,台州,黄岩区,柑橘,乔木,主要蜜源,中等规模,4,5,统计验证：黄岩蜜橘面积5.4万亩(2022)，中国蜜橘之乡,丘陵
山东,临沂,临沂市,刺槐,乔木,主要蜜源,大规模,4,5,统计验证：临沂刺槐林面积100万亩(2023)，山东最大刺槐分布区,山地
山东,潍坊,潍坊市,刺槐,乔木,主要蜜源,大规模,4,5,统计验证：潍坊刺槐面积60万亩(2023),山地
山东,泰安,泰安市,刺槐,乔木,主要蜜源,大规模,4,5,统计验证：泰安刺槐面积50万亩(2023)，泰山周边山地分布,山地
山东,烟台,烟台市,刺槐,乔木,主要蜜源,大规模,4,5,统计验证：烟台刺槐面积40万亩(2023),低山丘陵
山东,济宁,济宁市,刺槐,乔木,主要蜜源,大规模,4,5,统计验证：济宁刺槐面积40万亩(2023),山地
山东,滨州,滨州市,枣树,乔木,主要蜜源,大规模,5,6,统计验证：滨州枣树面积50万亩(2023)，山东枣花蜜主产区,平原
山东,德州,乐陵市,枣树,乔木,主要蜜源,大规模,5,6,统计验证：乐陵金丝小枣面积30万亩(2023)，中国金丝小枣之乡,平原
河南,三门峡,卢氏县,刺槐,乔木,主要蜜源,大规模,4,5,统计验证：卢氏县刺槐林面积上百万亩(2023)，全国刺槐蜜核心产区,山地
河南,三门峡,卢氏县,荆条,灌木,主要蜜源,中等规模,6,7,统计验证：卢氏县荆条面积20余万亩(2023),山地
河南,郑州,新郑市,枣树,乔木,主要蜜源,中等规模,5,6,统计验证：新郑红枣面积13.54万亩(2023)，中国红枣之乡,平原
河南,安阳,内黄县,枣树,乔木,主要蜜源,中等规模,5,6,统计验证：内黄县枣树面积15.09万亩(2023),平原
吉林,白山,长白县,椴树,乔木,主要蜜源,大规模,6,7,统计验证：长白县为中国椴树蜜之乡(吉林日报)，长白山区椴树核心产区,山地
吉林,延边,安图县,椴树,乔木,主要蜜源,大规模,6,7,统计验证：安图县椴树(2023)，长白山区椴树蜜源分布,山地
江苏,泰州,泰州市,油菜,草本,主要蜜源,大规模,2,4,统计验证：泰州油菜面积41.11万亩(2022),平原
江苏,泰州,兴化市,油菜,草本,主要蜜源,中等规模,2,4,统计验证：兴化油菜面积16.12万亩(2022，不含垛田),平原
宁夏,吴忠,盐池县,老瓜头,灌木,主要蜜源,中等规模,6,7,统计验证：盐池县老瓜头(2023)，宁夏荒漠草原蜜源；分布区域：荒漠草原地带,荒漠草原
宁夏,吴忠,同心县,老瓜头,灌木,主要蜜源,中等规模,6,7,统计验证：同心县老瓜头(2023),荒漠草原
宁夏,中卫,中宁县,枸杞,灌木,主要蜜源,中等规模,5,6,统计验证：中宁枸杞面积(2023)，中国枸杞之乡；枸杞花为重要蜜源,平原
宁夏,固原,西吉县,荞麦,草本,主要蜜源,中等规模,8,9,统计验证：西吉县荞麦面积(2023)，宁夏小杂粮主产区,山地
山西,临汾,临汾市,刺槐,乔木,主要蜜源,大规模,4,5,统计验证：临汾市刺槐面积85.20万亩(《中国蜂业》2012),山地
山西,长治,长治市,刺槐,乔木,主要蜜源,大规模,4,5,统计验证：长治市刺槐面积60.60万亩(《中国蜂业》2012),山地
山西,运城,运城市,刺槐,乔木,主要蜜源,中等规模,4,5,统计验证：运城市刺槐面积26.70万亩(《中国蜂业》2012),山地
山西,吕梁,吕梁市,刺槐,乔木,主要蜜源,中等规模,4,5,统计验证：吕梁市刺槐面积24.60万亩(《中国蜂业》2012),山地
山西,晋中,晋中市,刺槐,乔木,主要蜜源,中等规模,4,5,统计验证：晋中市刺槐面积17.10万亩(《中国蜂业》2012),山地
山西,晋城,晋城市,刺槐,乔木,主要蜜源,中等规模,4,5,统计验证：晋城市刺槐面积9.00万亩(《中国蜂业》2012),山地
山西,吕梁,吕梁市,枣树,乔木,主要蜜源,大规模,5,6,统计验证：吕梁市枣树面积100.05万亩，占全省66.7%(《中国蜂业》2012),山地
山西,临汾,临汾市,枣树,乔木,主要蜜源,中等规模,5,6,统计验证：临汾市枣树面积18.15万亩(《中国蜂业》2012),山地
山西,运城,运城市,枣树,乔木,主要蜜源,中等规模,5,6,统计验证：运城市枣树面积17.40万亩(《中国蜂业》2012),平原
